video_id,video_title,comment_date,comments,like_count,label_highlow
eolEz_jU-vs,Joe Biden addresses the nation after election victory,2021-01-01T02:45:13Z,Finally    we          ll  have  a  real  president    I  feel  hope  for  the  first  time  in      years  ,29.0,0
eolEz_jU-vs,Joe Biden addresses the nation after election victory,2020-11-14T09:23:56Z,The  majority  of  Americans  who  voted  for  Biden  did  so  not  because  of  him    but  because  they  hate  Trump      That          s  like  saying  you  hate  eating  broccoli    so  you          ll  eat  dog            instead  ,6.0,0
eolEz_jU-vs,Joe Biden addresses the nation after election victory,2020-11-13T17:29:51Z,If  this  was  his  victory  speech    I  can          t  wait  to  see  his  inauguration  speech,24.0,0
eolEz_jU-vs,Joe Biden addresses the nation after election victory,2020-11-12T20:04:23Z,That  moment  at    a  href    https      www  youtube  com  watch  v  eolEz  jU  vs  amp  t      m    s                  a    is  one  of  my  absolute  favourites  ,26.0,0
eolEz_jU-vs,Joe Biden addresses the nation after election victory,2020-11-11T09:48:14Z,Congrats  Mr    President  elect    wish  u  well  in  your  tenure  of  office  ,7.0,0
eolEz_jU-vs,Joe Biden addresses the nation after election victory,2020-11-10T21:36:51Z,  a  href    https      www  youtube  com  watch  v  eolEz  jU  vs  amp  t    m    s                a      My  god    how  I          ve  missed  hearing  those  three  words    Gives  me  chills  every  time    ,54.0,1
eolEz_jU-vs,Joe Biden addresses the nation after election victory,2020-11-10T08:09:44Z,  quot  We  have  to  stop  treating  our  opponents  as  our  enemies    They  are  not  our  enemies    They  are  Americans    quot        well  said,33.0,1
eolEz_jU-vs,Joe Biden addresses the nation after election victory,2020-11-10T04:20:00Z,My  family  was  watching  this  on  the  couch  and  halfway  through    my  dad  smiled  at  us  and  said    quot  he  hasn          t  mentioned  Trump  once  quot  ,35.0,1
eolEz_jU-vs,Joe Biden addresses the nation after election victory,2020-11-10T02:39:49Z,  a  href    https      www  youtube  com  watch  v  eolEz  jU  vs  amp  t    m    s                a    wholesome  double  fist  bump,7.0,0
eolEz_jU-vs,Joe Biden addresses the nation after election victory,2020-11-10T02:12:58Z,Anyone  else  guilty  of  watching  this  a  few  extra  times  ,103.0,1
eolEz_jU-vs,Joe Biden addresses the nation after election victory,2020-11-10T01:22:32Z,Notice  how  he  didn          t  say  anything  about  Trump  and  didn          t  go  against  you  Trump  supporters          ,14.0,0
eolEz_jU-vs,Joe Biden addresses the nation after election victory,2020-11-10T00:14:16Z,I  really  have  a  great  admiration  for  the  new  elected  President  of  the  United  States  of  America    He  is  a  humble      respectful  leader      when  i  watched  his  videos  and  interviews    br      You  really  deserve  this  position    Let  the  trust  and  the  confidence  your  people  placed  in  you  to  be  highly  considered  in  your  tasks    Make  the  all  Nation  and  the  world  great  as  you  are    May  God  help  you      ,16.0,0
eolEz_jU-vs,Joe Biden addresses the nation after election victory,2020-11-09T23:58:13Z,After      years  of  this  nonsense  it  feels  really  good  to  see  an  American  President  talking  with  reason    decency  and  respect  uniting  the  American  people  again    Greetings  from  Germany  ,12.0,0
eolEz_jU-vs,Joe Biden addresses the nation after election victory,2020-11-09T20:43:43Z,  Rosey  you  re  fired      br      But  trump  edition,10.0,0
eolEz_jU-vs,Joe Biden addresses the nation after election victory,2020-11-09T20:10:10Z,Biden  is  the  perfect  President  for  these  dangerous  time  we  are  living  in  ,12.0,0
eolEz_jU-vs,Joe Biden addresses the nation after election victory,2020-11-09T19:32:41Z,I  can  just  imagine  all  the  cities  that  would  be  on  fire  right  now  if  trump  was  the  one  that  cheated  and  won,6.0,0
eolEz_jU-vs,Joe Biden addresses the nation after election victory,2020-11-09T19:30:27Z,it  seems  that  God  looked  at  this  country  and  finally  blessed    Good  luck  Joe  ,7.0,0
eolEz_jU-vs,Joe Biden addresses the nation after election victory,2020-11-09T19:26:40Z,he  is  running  like  a        old  man    he  is        yrs  unbelievable    all  best  great  grand  dad,14.0,0
eolEz_jU-vs,Joe Biden addresses the nation after election victory,2020-11-09T18:22:42Z,what  a  great  and  capable  person  became  President  of  USA  and  how  is  he  different  from  Trump  ,7.0,0
eolEz_jU-vs,Joe Biden addresses the nation after election victory,2020-11-09T17:56:42Z,  quot  Let  this  grimm  error  of  demonization    begin  to  end  here  and  now  quot    AMEN,38.0,1
eolEz_jU-vs,Joe Biden addresses the nation after election victory,2020-11-09T17:55:30Z,  quot  Look    its  simple    I  won  the  trunalimpuReze  quot  ,12.0,0
eolEz_jU-vs,Joe Biden addresses the nation after election victory,2020-11-09T17:07:07Z,Congratulations  America    Love  from  India  ,7.0,0
